Index,Humidity,Temperature,UV Power,Power,Pressure
0,58,19,215,1119437,101.76
1,58,19,215,1119437,101.76
2,58,18,270,1400218,101.78
3,58,18,270,1400218,101.78
4,58,18,270,1400218,101.78
5,58,18,270,1400218,101.78
6,58,18,270,1400218,101.78
7,58,18,270,1400218,101.78
8,58,18,270,1400218,101.78
9,58,18,270,1400218,101.78
10,58,18,270,1400218,101.78
11,58,18,270,1400218,101.78
12,58,18,270,1400218,101.78
13,58,18,270,1400218,101.78
14,58,18,270,1400218,101.78
15,58,18,270,1400218,101.78
16,58,18,270,1400218,101.78
17,58,18,270,1400218,101.78
18,58,18,270,1400218,101.78
19,58,18,270,1400218,101.78
20,58,18,270,1400218,101.78
21,58,18,270,1400218,101.78
22,58,18,270,1400218,101.78
23,58,18,270,1400218,101.78
24,58,18,270,1400218,101.78
25,58,18,270,1400218,101.78
26,58,18,270,1400218,101.78
27,58,18,270,1400218,101.78
28,58,18,270,1400218,101.78
29,58,18,270,1400218,101.78
30,58,18,270,1400218,101.78
31,58,18,270,1400218,101.78
32,58,18,270,1400218,101.78
33,58,18,270,1400218,101.78
34,58,18,270,1400218,101.78
35,58,18,270,1400218,101.78
36,58,18,270,1400218,101.78
37,58,18,270,1400218,101.78
38,58,18,270,1400218,101.78
39,58,18,270,1400218,101.78
40,58,18,270,1400218,101.78
41,58,18,270,1400218,101.78
42,58,18,270,1400218,101.78
43,58,18,270,1400218,101.78
44,58,18,270,1400218,101.78
45,58,18,270,1400218,101.78
46,58,18,270,1400218,101.78
47,58,18,270,1400218,101.78
48,58,18,270,1400218,101.78
49,58,18,270,1400218,101.78
50,58,18,270,1400218,101.78
51,58,18,270,1400218,101.78
52,58,18,270,1400218,101.78
53,58,18,270,1400218,101.78
54,58,18,270,1400218,101.78
55,58,18,270,1400218,101.78
56,58,18,270,1400218,101.78
57,58,18,270,1400218,101.78
58,58,18,270,1400218,101.78
59,58,18,270,1400218,101.78
60,58,18,270,1400218,101.78
61,58,18,270,1400218,101.78
62,58,18,270,1400218,101.78
63,58,18,270,1400218,101.78
64,58,18,270,1400218,101.78
65,58,18,270,1400218,101.78
